price(usd),Date,total_volume,Market_cap
70544.43,13-Mar-26,43093376170,1411.41B
70965.28,14-Mar-26,62328257622,1419.13B
71217.1,15-Mar-26,23763781398,1424.67B
72681.91,16-Mar-26,29137209888,1453.82B
74858.15,17-Mar-26,56424669616,1496.61B
73926.28,18-Mar-26,47796151710,1479.03B
71255.86,19-Mar-26,46235388353,1425.25B
69871.45,20-Mar-26,46069506173,1397.13B
70552.63,21-Mar-26,39288514956,1411.55B
68733.55,22-Mar-26,22788052216,1381.32B
67848.88,23-Mar-26,30380203637,1357.22B
70892.83,24-Mar-26,52502731112,1417.92B
70524.51,25-Mar-26,40395077211,1410.85B
71309.26,26-Mar-26,36566429239,1426.72B
68791.11,27-Mar-26,52234708976,1375.96B
66321.02,28-Mar-26,48874426380,1326.11B
66321.07,29-Mar-26,23637115349,1326.98B
65970.43,30-Mar-26,25095464002,1320.07B
66699.27,31-Mar-26,37098483335,1334.54B
68231.83,01-Apr-26,56210727882,1364.71B
68089.06,02-Apr-26,46822039843,1362.12B
66891.66,03-Apr-26,47198627199,1338.64B
66939.69,04-Apr-26,26755680224,1339.4B
67304.25,05-Apr-26,21516550337,1346.79B
68985.53,06-Apr-26,26416194025,1380.58B
68864.23,07-Apr-26,45398732028,1378.43B
71975.62,08-Apr-26,54821363018,1439.69B
71117.08,09-Apr-26,42583999504,1423.29B
71770.75,10-Apr-26,39293023567,1436.4B
72972.71,11-Apr-26,38358391004,1460.61B
72726.67,11-Apr-26,27805659087,1455.59B
